# Sourced from: https://github.com/patrickmccallum/mimetype-io/pull/68
#
# Changes:
# - Removed: `gcode`
# - Removed file extensions crossovers from: `image/heic`, `image/heic-sequence`, `image/heif`, `image/heif-sequence`
# - This file is sorted alphabetically, except that all `application` types have been moved to the bottom of this file
#   and certain MIME types that share a file extension with another MIME type have been moved to the top of this file to
#   act as a higher preference when mapping a file extension to its MIME type.

application/xml	xml xpdl xsl
application/rpki-checklist	sig
application/rpki-ghostbusters	gbr
application/rpki-manifest	mft
application/rpki-roa	roa
application/rpki-signed-tal	tak
application/rsd+xml	rsd
application/rss+xml	rss xml
application/rtf	rtf
application/sarif+json	sarif sarif.json
application/sarif-external-properties+json	sarif-external-properties sarif-external-properties.json
application/sbml+xml	sbml
application/scim+json	scim
application/scvp-cv-request	scq
application/scvp-cv-response	scs
application/scvp-vp-request	spq
application/scvp-vp-response	spp
application/sdf+json	sdf.json
application/sdp	sdp
application/senml+cbor	senmlc
application/senml+json	senml
application/senml+xml	senmlx
application/senml-etch+cbor	senml-etchc
application/senml-etch+json	senml-etchj
application/senml-exi	senmle
application/sensml+cbor	sensmlc
application/sensml+json	sensml
application/sensml+xml	sensmlx
application/sensml-exi	sensmle
application/set-payment-initiation	setpay
application/set-registration-initiation	setreg
application/shf+xml	shf
application/sieve	siv
application/simple-filter+xml	cl xml
application/sipc	h5
application/smil+xml	smi smil
application/sparql-query	rq
application/sparql-results+xml	srx
application/spdx+json	spdx.json
application/sql	sql
application/srgs	gram
application/srgs+xml	grxml
application/sru+xml	sru
application/ssdl+xml	ssdl
application/ssml+xml	ssml
application/stix+json	stix
application/suit-envelope+cose	cbor suit
application/swid+cbor	coswid
application/swid+xml	swidtag
application/tamp-apex-update	tau
application/tamp-apex-update-confirm	auc
application/tamp-community-update	tcu
application/tamp-community-update-confirm	cuc
application/tamp-error	ter
application/tamp-sequence-adjust	tsa
application/tamp-sequence-adjust-confirm	sac
application/tamp-status-query	tsq
application/tamp-status-response	tsr
application/tamp-update	tur
application/tamp-update-confirm	tuc
application/td+json	jsontd
application/tei+xml	tei teicorpus
application/texinfo	texi texinfo
application/thraud+xml	tfi
application/timestamp-query	tsq
application/timestamp-reply	tsr
application/timestamped-data	tsd
application/tlsrpt+gzip	gz
application/tlsrpt+json	json
application/tm+json	jsontm tm.json tm.jsonld
application/toml	toml
application/trig	trig
application/ttml+xml	ttml
application/uccs+cbor	uccs
application/ujcs+json	ujcs
application/urc-grpsheet+xml	gsheet
application/urc-ressheet+xml	rsheet
application/urc-targetdesc+xml	td
application/urc-uisocketdesc+xml	uis
application/vc	vc
application/vcard+xml	xml
application/vnd.1000minds.decision-model+xml	1km
application/vnd.1ob	ob
application/vnd.3gpp.pic-bw-large	plb
application/vnd.3gpp.pic-bw-small	psb
application/vnd.3gpp.pic-bw-var	pvb
application/vnd.3gpp.sms	sms
application/vnd.3gpp2.sms	sms
application/vnd.3gpp2.tcap	tcap
application/vnd.3lightssoftware.imagescal	imgcal
application/vnd.3m.post-it-notes	pwn
application/vnd.R74n.sandboxels+json	sbxls
application/vnd.accpac.simply.aso	aso
application/vnd.accpac.simply.imp	imp
application/vnd.acucobol	acu
application/vnd.acucorp	acutc atc
application/vnd.adobe.air-application-installer-package+zip	air
application/vnd.adobe.flash.movie	swf
application/vnd.adobe.formscentral.fcdt	fcdt
application/vnd.adobe.fxp	fxp fxpl
application/vnd.adobe.xdp+xml	xdp
application/vnd.adobe.xfdf	xfdf
application/vnd.afpc.modca	afp list3820 listafp pseg3820
application/vnd.afpc.modca-overlay	ovl
application/vnd.afpc.modca-pagesegment	psg
application/vnd.age	age
application/vnd.ahead.space	ahead
application/vnd.airzip.filesecure.azf	azf
application/vnd.airzip.filesecure.azs	azs
application/vnd.amadeus+json	json
application/vnd.amazon.ebook	azw
application/vnd.amazon.mobi8-ebook	azw3
application/vnd.americandynamics.acc	acc
application/vnd.amiga.ami	ami
application/vnd.amundsen.maze+xml	xml
application/vnd.android.ota	ota
application/vnd.android.package-archive	apk
application/vnd.anki	apkg
application/vnd.anser-web-certificate-issue-initiation	cii
application/vnd.anser-web-funds-transfer-initiation	fti
application/vnd.antix.game-component	atx
application/vnd.apache.arrow.file	arrow
application/vnd.apache.arrow.stream	arrows
application/vnd.apache.parquet	parquet
application/vnd.apexlang	apex apexlang axdl
application/vnd.api+json	json
application/vnd.aplextor.warrp+json	json
application/vnd.apothekende.reservation+json	json
application/vnd.apple.installer+xml	mpkg
application/vnd.apple.keynote	key
application/vnd.apple.mpegurl	m3u8
