# Sourced from: https://github.com/patrickmccallum/mimetype-io/pull/68
#
# Changes:
# - Removed: `gcode`
# - Removed file extensions crossovers from: `image/heic`, `image/heic-sequence`, `image/heif`, `image/heif-sequence`
# - This file is sorted alphabetically, except that all `application` types have been moved to the bottom of this file
#   and certain MIME types that share a file extension with another MIME type have been moved to the top of this file to
#   act as a higher preference when mapping a file extension to its MIME type.

application/xml	xml xpdl xsl
application/x-ustar	ustar
application/x-wais-source	src
application/x-x509-ca-cert	crt der
application/x-xfig	fig
application/x-xliff+xml	xlf
application/x-xpinstall	xpi
application/x-xz	xz
application/x-zip-compressed	zip
application/x-zmachine	z1 z2 z3 z4 z5 z6 z7 z8
application/xaml+xml	xaml
application/xcap-att+xml	xav
application/xcap-caps+xml	xca
application/xcap-diff+xml	xdf
application/xcap-el+xml	xel
application/xcap-error+xml	xer
application/xcap-ns+xml	xns
application/xcon-conference-info+xml	xml
application/xcon-conference-info-diff+xml	xml
application/xenc+xml	xenc
application/xfdf	xfdf
application/xliff+xml	xlf
application/xml-dtd	dtd
application/xml-external-parsed-entity	ent xml
application/xml-patch+xml	xml
application/xop+xml	xop
application/xproc+xml	xpl
application/xslt+xml	xslt
application/xspf+xml	xspf
application/xv+xml	mxml xhvml xvm xvml
application/yang	yang
application/yang-sid+json	sid
application/yin+xml	yin
application/zip-compressed	zip
application/zstd	zst
